"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cacnb4",0.129089805734691,0.0904728223592328,0.018,0,1
"Stk39",0.129089805734691,0.0980161504049689,0.018,0,1
"Gm13710",0.129089805734691,0.120064624727224,0.018,0,1
"Gm19426",0.129089805734691,0.0852332047792313,0.018,0,1
"Gm10800",0.129089805734691,0.112877505934709,0.018,0,1
"Gm29340",0.129089805734691,0.0103663816696263,0.018,0,1
"Itpka",0.129089805734691,0.105201708676501,0.018,0,1
"Tyro3",0.129089805734691,0.0234772985899544,0.018,0,1
"Pla2g4f",0.129089805734691,0.0180528844808202,0.018,0,1
"Trim69",0.129089805734691,0.0984118670983993,0.018,0,1
"Napb",0.129089805734691,0.0160560900396514,0.018,0,1
"Slc12a5",0.129089805734691,0.0102912140585922,0.018,0,1
"Sulf2",0.129089805734691,0.2086735178467,0.018,0,1
"Gm14399",0.129089805734691,0.0133024224934498,0.018,0,1
