"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Haus6",0.384482924422565,-0.165530869397607,0.035,0.055,1
"Iqsec2",0.384482924422565,0.00767771601821546,0.035,0.055,1
"Pgap1",0.384579499120576,0.000832066781875938,0.02,0.037,1
"Lmo2",0.384579499120576,-0.0576900397286702,0.02,0.037,1
"1700113A16Rik",0.384579499120576,0.0161660443128118,0.02,0.037,1
"Hlcs",0.384579499120576,-0.0736009754158607,0.02,0.037,1
"Gm4013",0.384579499120576,-0.00378942731224072,0.02,0.037,1
"March6",0.384609419570056,0.140498140013442,0.175,0.229,1
"Copb2",0.384698095445667,0.0921121748058532,0.27,0.33,1
"Cd164",0.385231073863197,-0.180770881908546,0.23,0.275,1
"Arpc4",0.385286271647627,0.38356631765737,0.28,0.257,1
"Fbxw4",0.385319552460989,0.000345683524935469,0.115,0.083,1
"Wdr6",0.385579791699017,-0.244423401342517,0.15,0.183,1
"Odc1",0.385613559708138,0.160396280779402,0.21,0.174,1
"Dnajc9",0.385876372806812,0.332055328676902,0.12,0.092,1
"Nrd1",0.386048322896059,-0.102685622159966,0.16,0.202,1
"Mtfr1l",0.386068414589996,-0.0529355599301322,0.395,0.477,1
"Uqcc1",0.386083370749207,-0.202991127914311,0.065,0.092,1
"Gimap1",0.386083370749207,-0.0446385869432875,0.085,0.055,1
"Srp9",0.386222066907858,0.549511230057918,0.345,0.349,1
"Azi2",0.386388836658741,0.0605043300533226,0.135,0.174,1
"Usp31",0.386564308969059,0.0313848132452831,0.06,0.037,1
"Prdm4",0.386564308969059,-0.0689010438319313,0.06,0.037,1
"Edrf1",0.386580689053768,-0.116377664800033,0.035,0.055,1
"Gm45716",0.386580689053768,-0.0889998253007038,0.035,0.055,1
"Snai1",0.3870398587565,-0.0534416018844251,0.05,0.073,1
"Ube2g1",0.3871526898647,0.400141535916602,0.185,0.156,1
"Atp23",0.387233415380399,0.035579038068187,0.02,0.037,1
"Gemin8",0.387233415380399,-0.021995053386509,0.02,0.037,1
"Armcx3",0.387690159362696,-0.110979889490273,0.065,0.092,1
"Riok1",0.387707567082265,0.209284355729767,0.13,0.101,1
"Ankrd13a",0.387776795310096,-0.164650059459382,0.175,0.211,1
"Dda1",0.387791303068387,0.0267796987323132,0.245,0.303,1
"Smpd2",0.388071282275368,-0.066484489974288,0.11,0.147,1
"Pigu",0.388124237046195,0.0424169487129754,0.08,0.11,1
"Wdr12",0.388470521677204,0.17373820739276,0.06,0.037,1
"Fkbp9",0.388489419690931,0.14872744225323,0.16,0.211,1
"Ggct",0.388589213607199,-0.00220714773885233,0.095,0.064,1
"Mast3",0.388685423776791,-0.0541972452340169,0.035,0.055,1
"Pcgf6",0.388685423776791,-0.0528507120092948,0.035,0.055,1
"Gng12",0.388730157311906,0.279151943761911,0.35,0.33,1
"Pex3",0.388960827324162,-0.109693110052806,0.115,0.147,1
