"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hcfc1",0.0525150945583192,0.00362554223058414,0.095,0.173,1
"Eif1b",0.0526734352541021,-0.157338930040126,0.21,0.309,1
"Mob3c",0.0526792310346225,-0.0553518443893319,0.045,0.1,1
"Rprd1b",0.0526892067541635,-0.223714864722019,0.065,0.127,1
"Gstz1",0.0526892067541635,-0.167955514981638,0.065,0.127,1
"Pfdn2",0.0527005684746117,-0.235062099759831,0.35,0.464,1
"Abcf2",0.0527058361845382,-0.124504438420059,0.14,0.227,1
"AU040320",0.0528097496221793,0.525038771153498,0.24,0.155,1
"Vps35",0.0528415575539023,-0.412440862422148,0.255,0.345,1
"Smim1",0.0528489453589678,0.379184385722498,0.165,0.091,1
"Usf3",0.052869442782713,-0.264389372614065,0.085,0.155,1
"Rab33b",0.0530207849613853,-0.3792423866515,0.065,0.127,1
"Gdnf",0.0530601445582477,-0.155004318955561,0.045,0.1,1
"Gar1",0.0533204687650072,-0.19797565902405,0.05,0.109,1
"Map2k7",0.0533204687650072,-0.0734425582502362,0.05,0.109,1
"Rnf121",0.053428181142129,-0.0785775618818431,0.115,0.191,1
"Fdx1",0.0535566630933119,-0.296440902406218,0.395,0.491,1
"Dennd5a",0.0535710447955188,-0.491442720109186,0.125,0.2,1
"Tbc1d10c",0.053821719329119,-0.273407610580425,0.06,0.118,1
"Lage3",0.0538345230917194,0.218202834436594,0.22,0.127,1
"Apc",0.0540064162613137,0.589773468743063,0.325,0.245,1
"Cul5",0.0540493901969115,-0.265879916052288,0.12,0.2,1
"Ddx23",0.0540800426236763,0.00523882564457026,0.055,0.118,1
"Arid2",0.0542098985616541,-0.125401554389463,0.135,0.218,1
"Rpp25l",0.0542130899161722,-0.198421849343189,0.1,0.173,1
"Pwp1",0.0542167168593861,-0.183679535408026,0.045,0.1,1
"Zdhhc17",0.0542167168593861,-0.17010283326661,0.045,0.1,1
"Tmem106a",0.0542699686361388,0.398810302534562,0.12,0.055,1
"Pkn2",0.0544165625927714,-0.29018462230092,0.26,0.364,1
"Usp15",0.0544241010252782,-0.343423238995667,0.18,0.264,1
"Stx5a",0.0546847483816899,-0.266615487559059,0.17,0.255,1
"Matr3",0.054689029742143,-0.227343410970975,0.215,0.309,1
"Emb",0.0547461240877235,0.193402539226366,0.375,0.255,1
"Lamb2",0.0549366298535313,0.538294844058377,0.3,0.209,1
"Tbc1d23",0.0549974500493876,-0.073095134567664,0.085,0.155,1
"Cdr2",0.0549993931146697,-0.191087470391776,0.045,0.1,1
"Slc35b3",0.0549993931146697,-0.235239596638332,0.045,0.1,1
"Ano6",0.0551270128704468,-0.1072686128644,0.12,0.2,1
"Ints1",0.0551740018489087,-0.0937715501067495,0.09,0.164,1
"Tdrd7",0.0552051438253855,0.233375219536092,0.17,0.091,1
"Arntl",0.0553175996081015,-0.123695785372503,0.04,0.091,1
"Pet100",0.0553423376202801,0.255545479198662,0.255,0.164,1
"Rdx",0.0553466821583135,-0.487531138270815,0.3,0.391,1
"Ncbp1",0.0553909752580904,-0.18185837148579,0.065,0.127,1
"Acy3",0.0553909752580904,0.230688878767117,0.11,0.045,1
"Selenok",0.0555454589141063,-0.206003601738808,0.53,0.718,1
"Mrps36",0.0556389010910747,0.398431651566502,0.295,0.2,1
"Srxn1",0.0557008918306222,0.300379071429214,0.095,0.036,1
"Ptdss2",0.0557366749130698,0.221016094315834,0.11,0.045,1
"Castor1",0.0557366749130698,0.208247838616658,0.11,0.045,1
"Smim13",0.0557617128482747,0.252630017949465,0.17,0.091,1
"Naa16",0.0557914669496334,-0.361763806938146,0.045,0.1,1
"Sorbs1",0.0557914669496334,-0.207558749415244,0.045,0.1,1
"Insr",0.0558274847114092,-0.114178362790157,0.07,0.136,1
"Cast",0.0558783948418491,-0.45468992704276,0.29,0.382,1
"Stxbp5",0.0558883009038092,-0.110938970131329,0.055,0.118,1
"Capg",0.0559251253177895,-0.146311517174254,0.155,0.245,1
"Klhl6",0.0561540322749178,-0.192872015813709,0.04,0.091,1
"Taf1d",0.0561595306311662,-0.337759503392779,0.105,0.173,1
"Dennd1b",0.0562681620178474,-0.174974055895568,0.135,0.209,1
"Gba",0.0563061150799379,0.169659178379105,0.16,0.082,1
"Dhps",0.0564214750868704,-0.225346725273045,0.14,0.218,1
"Cbfb",0.0564334674472711,-0.197242889008473,0.065,0.127,1
"Traf2",0.0565581457755993,0.0673798483588297,0.125,0.055,1
"Birc2",0.0567020061402908,-0.126059485623629,0.09,0.164,1
"Fnbp1",0.0567098316783033,-0.118337738190819,0.05,0.109,1
"Ankrd27",0.0567098316783033,-0.0728516848303916,0.05,0.109,1
"Rps15",0.0567130625088594,-0.357009181502276,0.795,0.791,1
"D430040D24Rik",0.0567497507513976,-0.0155192745920475,0,0.018,1
"Fam178b",0.0567497507513976,-0.0894384879369442,0,0.018,1
"Mpp4",0.0567497507513976,-0.0519202801952088,0,0.018,1
"Gm29358",0.0567497507513976,-0.100332910877546,0,0.018,1
"Tmem198",0.0567497507513976,-0.0319538156501703,0,0.018,1
"Utp14b",0.0567497507513976,-0.0535853974654756,0,0.018,1
"9430060I03Rik",0.0567497507513976,-0.0563583659061177,0,0.018,1
"Gm15848",0.0567497507513976,-0.0860705072355482,0,0.018,1
"Gm29488",0.0567497507513976,-0.0179218113979654,0,0.018,1
"Gm29170",0.0567497507513976,-0.0552801298208195,0,0.018,1
"Cacna1e",0.0567497507513976,-0.0558868348342966,0,0.018,1
"Angptl1",0.0567497507513976,-0.0324676738378949,0,0.018,1
"Gm37328",0.0567497507513976,-0.11708824219166,0,0.018,1
"Gm37864",0.0567497507513976,-0.0249261410352583,0,0.018,1
"A430110L20Rik",0.0567497507513976,-0.0347440164130503,0,0.018,1
"Cacnb2",0.0567497507513976,-0.0303194689561742,0,0.018,1
"Il1rn",0.0567497507513976,-0.0269299327711761,0,0.018,1
"Gpr21",0.0567497507513976,-0.0214836768745015,0,0.018,1
"Mapk8ip1",0.0567497507513976,-0.0894364115464608,0,0.018,1
"Meis2",0.0567497507513976,-0.0265293568334418,0,0.018,1
"Slc28a2",0.0567497507513976,-0.0562542347864976,0,0.018,1
"Slc4a11",0.0567497507513976,-0.0367003832411244,0,0.018,1
"Zfp967",0.0567497507513976,-0.0341579226695738,0,0.018,1
"Gm14325",0.0567497507513976,-0.05354643366256,0,0.018,1
"P2ry13",0.0567497507513976,-0.0171497510715926,0,0.018,1
"Bcan",0.0567497507513976,-0.0294732894722268,0,0.018,1
"Mex3a",0.0567497507513976,-0.0389353928385956,0,0.018,1
"Slc27a3",0.0567497507513976,-0.0360802387773306,0,0.018,1
"S100a3",0.0567497507513976,-0.090504556572003,0,0.018,1
"A730011C13Rik",0.0567497507513976,-0.0230279594373521,0,0.018,1
"Gm42743",0.0567497507513976,-0.0537061315700707,0,0.018,1
"Adam30",0.0567497507513976,-0.0592978002260485,0,0.018,1
"Sycp1",0.0567497507513976,-0.060981110798644,0,0.018,1
"Rwdd3",0.0567497507513976,-0.0511259294546614,0,0.018,1
"Synpo2",0.0567497507513976,-0.192898680092051,0,0.018,1
"Mcoln3",0.0567497507513976,-0.0381726276762001,0,0.018,1
"Rragd",0.0567497507513976,-0.123499756072951,0,0.018,1
"D630039A03Rik",0.0567497507513976,-0.0312811657791536,0,0.018,1
"Col27a1",0.0567497507513976,-0.017152520955114,0,0.018,1
"Whrn",0.0567497507513976,-0.0961342269690021,0,0.018,1
"Gm12689",0.0567497507513976,-0.0563583659061177,0,0.018,1
"Gm12925",0.0567497507513976,-0.110953992540679,0,0.018,1
